"HDD apjoms, Gb:",DVD:,"Operatīvā atmiņa, Gb:",Video:,Pamat plate:,"Procesora frekvence, Ghz:",Stāvoklis:,Atrašanās vieta:,Darba dienas:,URL,Cena,Procesors:
2000,-,32,Geforce rtx3070 8gb gddr6 12000mhz,H310 fsb8000mts usb/sata3,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mbgob.html,959 €,Core i7-9700
1000,-,16,Geforce rtx4070 12gb gddr6x,H410 fsb8000mts usb/sata3,5300,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lpfil.html,1 199 €,Core i9-10900
1000,-,32,Asus tuf gaming rtx 4070 ti 12gb oc,Asus Rog Strix B660-F Gaming W,5.20,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ejehg.html,1 950 €,I7 13700
1000,-,16,Geforce gt1030 2gb gddr5,B81 fsb4000mts,3900,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/glehf.html,399 €,Core i7 4771
500,-,16,Msi ventus 2x oc rtx 4060 ti 8gb,Asus Prime B450-Plus,4.20,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dpnnk.html,829 €,Ryzen 5 5500
1000,-,32,Gigabyte aero oc rtx 4070 12gb,Msi pro b550m-p gen3,4.70,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fhxip.html,1 340 €,Ryzen 7 5800X
1000,-,32,Zotac gaming trinity rtx 4080 16gb oc,Msi mag z790 tomahawk wi-fi,5.40,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gbgkm.html,2 799 €,I7 13700kf
1000,-,32,Msi ventux 3x rtx 4070 ti 12gb oc,Msi mag b650 tomahawk wi-fi,5.30,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kmnop.html,1 899 €,Ryzen 7 7700
512,-,16,Zotac gaming amp holo oc rtx 3070 8gb,Asus prime b450m-k ii,4.20,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/pjdjh.html,720 €,Ryzen 5 5500
2000,-,32,Msi Gaming X Trio White Oc Rtx 4070 Ti 1,Msi mag b650 tomahawk wi-fi,5.60,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dxklc.html,2 140 €,Ryzen 9 7900X
