Iela:,Cena,Stāvs:,Rajons:,Sērija:,Kadastra numurs:,Istabas:,Platība:,Mājas tips:,Pilsēta:,URL,Ērtības:
Saulgožu 27 [Karte],88 000 € (1 128.21 €/m²),9/10,Iļģuciems,119.,,3,78 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/dmbhn.html,
Sarkandaugavas 26/6 [Karte],46 000 € (1 533.33 €/m²),4/5,Sarkandaugava,Hrušč.,,1,30 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/ecgip.html,Parkošanas vieta
Palasta 9 [Karte],175 000 € (1 861.70 €/m²),2/3,Vecrīga,P. kara,,3,94 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/cjdom.html,Pirts
Stabu 87a [Karte],83 000 € (1 930.23 €/m²),4/5,centrs,Renov.,,2,43 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cdeji.html,Parkošanas vieta
Maskavas 281 [Karte],43 000 € (895.83 €/m²),8/12,Ķengarags,Čehu pr.,,2,48 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/gdldx.html,Lodžija
Alīses 8 [Karte],52 000 € (1 130.43 €/m²),3/5,Āgenskalns,Specpr.,,2,46 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/aibfp.html,
Madonas 21 [Karte],62 000 € (984.13 €/m²),5/16/lifts,Purvciems,Specpr.,,2,63 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bdldlj.html,"Lodžija, Parkošanas vieta"
Lēdurgas 24 [Karte],125 000 € (2 083.33 €/m²),7/9/lifts,Mangaļi,467.,,3,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mangali/apijx.html,"Lodžija, Parkošanas vieta"
Kurzemes pr. 98 [Karte],46 000 € (1 352.94 €/m²),7/9/lifts,Imanta,602.,,1,34 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/diiic.html,Lodžija
Ozolciema 18 [Karte],89 000 € (1 141.03 €/m²),2/9/lifts,Ziepniekkalns,119.,,3,78 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/denhn.html,"Lodžija, Parkošanas vieta"
Višķu 13 [Karte],37 500 € (1 171.88 €/m²),2/5,Ķengarags,LT proj.,,1,32 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bbjfdl.html,Balkons
Lielā 59 [Karte],47 000 € (1 236.84 €/m²),3/5,Bolderāja,Specpr.,,1,38 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/agdnd.html,Lodžija
Arsenāla 7 [Karte],117 000 € (1 462.50 €/m²),3/5,Vecrīga,P. kara,,3,80 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/fhckj.html,
Zentenes 39 [Karte],47 500 € (1 283.78 €/m²),2/5,Imanta,LT proj.,01009043411,2,37 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/hblbn.html,Lodžija
Rinkas 1 [Karte],40 000 € (727.27 €/m²),5/5,Vecmīlgrāvis,LT proj.,,3,55 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/aflic.html,Balkons
Kaivas 33 [Karte],175 000 € (1 750 €/m²),1/4/lifts,Mežciems,Jaun.,,3,100 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/dhilm.html,Terase
Maskavas 220a [Karte],61 700 € (1 045.76 €/m²),2/9/lifts,Krasta r-ns,467.,,3,59 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/krasta-st-area/abnep.html,"Lodžija, Parkošanas vieta"
Meldru 64 [Karte],48 000 € (888.89 €/m²),4/5,Vecmīlgrāvis,103.,,2,54 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/ehpfo.html,Lodžija
Bieziņa 12 [Karte],68 500 € (925.68 €/m²),7/9/lifts,Zolitūde,119.,,3,74 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/cbfim.html,Balkons
Stirnu 37a [Karte],51 000 € (1 000 €/m²),6/9/lifts,Purvciems,602.,01009038205,2,51 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fccoj.html,"Balkons, Parkošanas vieta"
Elizabetes 21a [Karte],185 000 € (3 700 €/m²),3/5,centrs,Renov.,,2,50 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ajlgl.html,Balkons
Miera 5 [Karte],166 000 € (2 273.97 €/m²),2/6/lifts,centrs,Renov.,,3,73 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dbemd.html,Balkons
Lilijas 15a [Karte],55 000 € (1 037.74 €/m²),2/5,Iļģuciems,Hrušč.,,3,53 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/amnml.html,
