Platums x Garums:,Dīvānu un gultas tips:,Stāvoklis:,Ražotājs:,Cena,URL
95x284,Dīvāni viesistabu,lietota,Natuzzi,600 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/bljph.html
1.00x2.70,Dīvāni stūra,jaun.,Латвия,700 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/jjcln.html
165x252,Dīvāni stūra,lietota,Cits,280 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/bbecxl.html
240x260,Dīvāni ādas,lietota,Vācija,690 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/bdphel.html
80x170,Dīvāni ādas,lietota,Itālija,680 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/bxdpnb.html
295x365,Dīvāni stūra,lietota,Minotti,3 000 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/kchkk.html
80x200,Gultas vienguļamas,lietota,Xx,100 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/dgpmk.html
190x90,Gultas vienguļamas,lietota,Lv,85 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/bokbj.html
160x325,Dīvāni stūra,lietota,Швеция,170 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/ccfhl.html
90x200,Gultas vienguļamas,lietota,Latvija,45 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/debkp.html
1000x1960,Dīvāni atveramie,lietota,Trevi,160 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/hphed.html
203x350,Dīvāni stūra,jaun.,Polija,921 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/fmblk.html
160x240,Dīvāni atveramie,lietota,Eu,145 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/boxko.html
160x251,Dīvāni ādas,jaun.,Vācija,495 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/bddxix.html
203x350,Dīvāni stūra,jaun.,Polija,1 195 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/pmdxc.html
179x312,Dīvāni ādas,jaun.,Vācija,1 390 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/egxof.html
99x205,Dīvāni viesistabu,jaun.,Itālija,1 395 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/mfbxc.html
180x200,Matrači,jaun.,Vācija,235 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/dbpbx.html
160x200,Matrači,jaun.,Vācija,325 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/ajiph.html
91x199,Dīvāni atveramie,jaun.,Polija,315 €,https://www.ss.lv/msg/lv/home-stuff/furniture-interior/sofas/hphhn.html
